FWD,V
0,0.000
0.5,0.082
0.55,0.090
1,0.140
1.1,0.145
2,0.220
2.2,0.231
3,0.270
3.3,0.280
4,0.320
4.4,0.330
5,0.360
6,0.400
7,0.430
8,0.460
9,0.490
10,0.520
11,0.555
12,0.585
13,0.610
14,0.635
15,0.660
16,0.690
17,0.715
18,0.735
19,0.755
20,0.790
21,0.810
22,0.830
23,0.850
24,0.870
25,0.900
26,0.925
27,0.945
28,0.965
29,0.990
30,1.030
31,1.055
32,1.075
33,1.095
34,1.115
35,1.140
36,1.160
37,1.185
38,1.205
39,1.235
40,1.265
41,1.285
42,1.305
43,1.320
44,1.335
45,1.345
46,1.360
47,1.375
48,1.395
49,1.410
50,1.430
51,1.445
52,1.460
53,1.475
54,1.490
55,1.505
56,1.520
57,1.535
58,1.545
59,1.548
60,1.550
61,1.570
62,1.585
63,1.600
64,1.605
65,1.610
66,1.620
67,1.640
68,1.650
69,1.665
70,1.680
71,1.692
72,1.704
73,1.716
74,1.728
75,1.740
76,1.750
77,1.760
78,1.770
79,1.785
80,1.800
81,1.810
82,1.820
83,1.830
84,1.840
85,1.850
86,1.860
87,1.870
88,1.880
89,1.890
90,1.900
91,1.920
92,1.935
93,1.945
94,1.955
95,1.960
96,1.970
97,1.985
98,2.000
99,2.010
100,2.020
